activity_id,transaction_type_code,currency,total_amount,first_date,last_date
46002-P-Z1-DZ0-001,2,XDR,1038320.68,2000-10-16,2000-10-16
46002-P-Z1-DZ0-001,3,XDR,1115624.98,2009-12-31,2009-12-31
46002-P-TG-D00-010,2,XDR,8147074.53,1999-05-10,1999-05-10
46002-P-TG-D00-010,3,XDR,8025352.76,2009-12-31,2009-12-31
46002-P-TG-D00-010,5,XDR,753193.63,2009-12-31,2011-09-30
46002-P-TG-D00-010,6,XDR,8025352.76,2009-03-31,2011-03-31
46002-P-DZ-D00-002,2,XDR,50095171.05,2003-06-02,2003-06-02
46002-P-DZ-D00-002,5,XDR,155432.29,2009-12-31,2009-12-31
46002-P-GN-D00-001,2,XDR,69922192.96,2019-03-29,2019-03-29
XM-DAC-46004-50165-002-LN4019,2,USD,18500000.00,2023-09-30,2023-09-30
XM-DAC-46004-50165-002-LN4019,3,USD,446881.86,2020-12-31,2025-08-31
XM-DAC-46004-50165-002-LN4019,5,USD,31662.24,2025-05-31,2025-08-31
CA-3-P005985001,2,CAD,1799837.00,2020-02-05,2020-02-05
CA-3-P005985001,3,CAD,1794206.00,2020-03-05,2023-12-27
46002-P-GN-D00-001,2,XDR,69922192.96,2019-03-29,2019-03-29
46002-P-DZ-D00-002,2,XDR,50095171.05,2003-06-02,2003-06-02
46002-P-DZ-D00-002,5,XDR,155432.29,2009-12-31,2009-12-31
46002-P-GW-D00-004,2,XDR,5023816.16,1997-03-19,1997-03-19
46002-P-GW-D00-004,3,XDR,4263353.04,2009-12-31,2009-12-31
46002-P-GW-D00-004,5,XDR,452261.26,2009-12-31,2025-04-15
46002-P-GW-D00-004,6,XDR,4026926.23,2009-03-31,2025-04-15
46002-P-TN-D00-002,2,XDR,1070000.00,2014-04-18,2014-04-18
46002-P-TN-D00-002,3,XDR,7951.98,2015-06-30,2015-06-30
46002-P-TG-D00-010,2,XDR,8147074.53,1999-05-10,1999-05-10
46002-P-TG-D00-010,3,XDR,8025352.76,2009-12-31,2009-12-31
46002-P-TG-D00-010,5,XDR,753193.63,2009-12-31,2011-09-30
46002-P-TG-D00-010,6,XDR,8025352.76,2009-03-31,2011-03-31
46002-P-Z1-DZ0-001,2,XDR,1038320.68,2000-10-16,2000-10-16
46002-P-Z1-DZ0-001,3,XDR,1115624.98,2009-12-31,2009-12-31
46002-P-Z1-D00-021,2,XDR,1366406.31,2013-03-15,2013-03-15
46002-P-Z1-D00-021,3,XDR,940727.33,2015-06-30,2016-12-31
XM-DAC-46004-50165-002-LN4019,2,USD,18500000.00,2023-09-30,2023-09-30
XM-DAC-46004-50165-002-LN4019,3,USD,446881.86,2020-12-31,2025-08-31
XM-DAC-46004-50165-002-LN4019,5,USD,31662.24,2025-05-31,2025-08-31
CA-3-A031558001,2,CAD,7296348.50,2004-09-07,2004-09-07
CA-3-A031558001,3,CAD,7255762.42,2007-12-27,2014-03-31
CA-3-P005985001,2,CAD,1799837.00,2020-02-05,2020-02-05
CA-3-P005985001,3,CAD,1794206.00,2020-03-05,2023-12-27
CA-3-P012562001,2,CAD,12905000.00,2024-03-28,2024-03-28
CA-3-P012562001,3,CAD,9500000.00,2024-03-28,2025-07-28
XM-DAC-46004-42169-013-LN4284,2,USD,100000000.00,2023-09-30,2023-09-30
XM-DAC-46004-42169-013-LN4284,5,USD,1411156.38,2025-05-31,2025-08-31
NL-KVK-41155305-WL-BO,4,EUR,800700,2019-01-01,2023-12-31
NL-KVK-41155305-WL-CO,4,EUR,902270,2019-01-01,2023-12-31
NL-KVK-41155305-WL-ID,4,EUR,699640,2019-01-01,2023-12-31
NL-KVK-41155305-WL-SR,4,EUR,973796,2020-01-01,2023-12-31
NL-KVK-41155305-WL-DC,4,EUR,914482,2019-01-01,2023-12-31
NL-KVK-41155305-WL-VN,4,EUR,810940,2019-01-01,2023-12-31
NL-KVK-41155305-WL-ET,4,EUR,755417,2020-12-31,2023-12-31
NL-KVK-41155305-WL-GH,4,EUR,909035,2019-01-01,2023-12-31
CA-3-P011560001,2,CAD,13350000.00,2025-03-07,2025-03-07
CA-3-P011560001,3,CAD,3500000.00,2025-03-24,2025-03-24
CA-3-P014016001,2,CAD,20000000.00,2024-12-17,2024-12-17
CA-3-P014016001,3,CAD,16423081.00,2025-01-09,2025-05-13
GB-GOV-7-BPFGFCR,3,GBP,40250000,2021-07-06,2025-08-31
CA-3-P011284001,2,CAD,12000000.00,2023-03-16,2023-03-16
CA-3-P011284001,3,CAD,7265701.87,2023-03-29,2025-09-29
XI-IATI-EC_NEAR-2023-ACT-61718,2,EUR,7000000,2023-11-18,2023-11-18
XM-DAC-46004-37113-013-GRNT0584,2,USD,22442000.00,2023-09-30,2023-09-30
XM-DAC-46004-37113-013-GRNT0584,3,USD,883154.34,2018-08-31,2025-08-31
XM-DAC-46004-37113-013-GRNT0584,1,USD,500000.00,2025-08-11,2025-08-11
XM-DAC-46004-37113-013-GRNT0583,2,USD,3000000.00,2023-09-30,2023-09-30
XM-DAC-46004-37113-013-GRNT0583,3,USD,101152.29,2018-08-31,2025-08-31
CA-3-D003316001,2,CAD,16875244.70,2017-08-16,2017-08-16
CA-3-D003316001,3,CAD,16730209.92,2017-09-21,2023-12-22
CA-3-P001675002,2,CAD,62660.07,2017-08-16,2017-08-16
CA-3-P001675002,3,CAD,62660.07,2020-11-12,2021-04-01
CA-3-D004711001,2,CAD,6624814.00,2018-03-28,2018-03-28
CA-3-D004711001,3,CAD,6624814.00,2018-03-29,2023-03-10
CA-3-A030493001,2,CAD,9748723.00,2000-08-02,2000-08-02
CA-3-A030493001,3,CAD,9688072.00,2000-12-04,2010-11-19
CA-3-S064590PRG,2,CAD,2112600.00,2009-03-26,2009-03-26
CA-3-S064590PRG,3,CAD,2112600.00,2009-04-03,2012-11-22
CA-3-D000771001,2,CAD,15000000.00,2021-05-12,2021-05-12
CA-3-P011845001,2,CAD,3000162.00,2023-03-10,2023-03-10
CA-3-P011845001,3,CAD,3000162.00,2023-03-16,2023-11-09
CA-3-P011497001,2,CAD,20182119.00,2023-06-02,2023-06-02
CA-3-P011497001,3,CAD,7299955.00,2023-06-09,2025-01-03
XM-DAC-46004-56182-001-LN4506,2,USD,195381600.30,2023-09-30,2023-09-30
XM-DAC-46004-56182-001-LN4506,5,USD,115821.77,2025-07-31,2025-08-31
XM-DAC-46004-49450-021-GRNT0764,2,USD,3700000.00,2023-09-30,2023-09-30
XM-DAC-46004-49450-021-GRNT0764,3,USD,1043627.79,2020-12-31,2025-08-31
CA-3-P006167001,2,CAD,275000000.00,2020-03-29,2020-03-29
CA-3-P006167001,3,CAD,275000000.00,2020-03-31,2021-03-31
CA-3-P012881001,2,CAD,10000000.00,2025-03-08,2025-03-08
CA-3-P012881001,3,CAD,1500000.00,2025-03-10,2025-03-10
XI-IATI-EC_INTPA-2019-ACT-D-40973-00,2,EUR,14001550,2019-02-11,2024-07-02
XM-DAC-46004-56306-001-LN4382,2,USD,15000000.00,2023-09-30,2023-09-30
XM-DAC-46004-56306-001-LN4383,2,USD,235000000.00,2023-09-30,2023-09-30
XM-DAC-46004-56306-001-LN4383,3,USD,57469044.95,2023-12-31,2025-08-31
XM-DAC-46004-56306-001-LN4383,5,USD,1796589.55,2024-05-31,2025-08-31
XM-DAC-46004-51308-009-LN4248,2,USD,220000000.00,2023-09-30,2023-09-30
XM-DAC-46004-51308-009-LN4248,3,USD,57996355.69,2022-12-31,2025-08-31
XM-DAC-46004-51308-009-LN4248,5,USD,4095432.66,2023-11-30,2025-08-31
XI-IATI-EC_INTPA-2023-ACT-61056,2,EUR,30000000,2022-12-19,2022-12-19
XM-DAC-46004-49450-012-GRNT0641,2,USD,29900000.00,2023-09-30,2023-09-30
XM-DAC-46004-49450-012-GRNT0641,3,USD,8753554.49,2019-09-30,2025-08-31
CA-3-A030912001,2,CAD,281586.17,2000-11-02,2000-11-02
XI-IATI-EC_INTPA-2024-ACT-61809,2,EUR,40000000,2024-03-11,2024-03-11
46002-P-DJ-EB0-002,2,XDR,572010.99,1998-04-08,1998-04-08
46002-P-DJ-EB0-002,3,XDR,535493.76,2009-12-31,2009-12-31
46002-P-CI-EBA-005,2,XDR,737563.82,1998-02-11,1998-02-11
46002-P-CI-EBA-005,3,XDR,729769.58,2009-12-31,2009-12-31
46002-P-MU-EB0-004,2,XDR,50170725.20,2004-04-29,2004-04-29
46002-P-MU-EB0-004,5,XDR,14853.34,2009-12-31,2009-12-31
CA-3-P013893001,2,CAD,10000000.00,2024-11-08,2024-11-08
CA-3-P013893001,3,CAD,1627360.00,2024-12-20,2024-12-20
CA-3-P010870001,2,CAD,241800000.00,2022-11-08,2022-11-08
CA-3-D000421001,2,CAD,17000000.01,2014-03-19,2014-03-19
CA-3-D000421001,3,CAD,17000000.00,2014-03-31,2015-03-11
XM-DAC-46004-44439-013-LN4447,2,USD,148500000.00,2023-09-30,2023-09-30
XM-DAC-46004-44439-013-LN4447,3,USD,16421635.53,2024-05-31,2025-08-31
XM-DAC-46004-44439-013-LN4447,5,USD,290094.06,2025-03-31,2025-08-31
XM-DAC-46004-54448-001-LN4590,2,USD,104000000.00,2023-09-30,2023-09-30
DE-1-201640705,2,EUR,43565271.67,2017-03-27,2017-03-27
DE-1-201640705,3,EUR,43565271.67,2019-12-27,2019-12-27
DE-1-201640705,4,EUR,43565272.00,2019-12-31,2019-12-31
46002-P-DJ-EB0-002,2,XDR,572010.99,1998-04-08,1998-04-08
46002-P-DJ-EB0-002,3,XDR,535493.76,2009-12-31,2009-12-31
46002-P-CI-EBA-005,2,XDR,737563.82,1998-02-11,1998-02-11
46002-P-CI-EBA-005,3,XDR,729769.58,2009-12-31,2009-12-31
46002-P-MU-EB0-004,2,XDR,50170725.20,2004-04-29,2004-04-29
46002-P-MU-EB0-004,5,XDR,14853.34,2009-12-31,2009-12-31
DE-1-201322015,11,EUR,9565054.28,2014-05-08,2017-12-14
DE-1-201322015,2,EUR,18914530.92,2014-06-01,2014-06-01
DE-1-201322015,4,EUR,9349476.64,2018-12-31,2018-12-31
CA-3-Z020803002,2,CAD,1709306.01,2007-05-10,2007-05-10
CA-3-Z020803002,3,CAD,1709306.00,2008-12-11,2013-12-13
XM-DAC-46004-47282-005-GRNT0545,2,USD,44760000.00000000000000,2023-09-30,2023-09-30
46002-P-ML-FF0-001,2,XDR,6660975.57,2016-10-31,2016-10-31
XM-DAC-46004-50195-001-LN3514,2,USD,33000000.00,2023-09-30,2023-09-30
XM-DAC-46004-50195-001-LN3515,2,USD,31400000.00,2023-09-30,2023-09-30
XM-DAC-46004-53258-001-LN4077,2,USD,3000000.00,2023-09-30,2023-09-30
XM-DAC-46004-44212-013-LN8284,2,USD,30000000.00,2023-09-30,2023-09-30
XM-DAC-46004-44212-013-LN8284,3,USD,36045.21,2014-06-30,2025-07-31
XM-DAC-46004-44212-013-LN8284,6,USD,600000.00,2024-12-31,2025-08-31
XM-DAC-46004-44212-013-LN8284,5,USD,79768.46,2022-12-31,2025-08-31
