activity_id,default_finance_type_code
CA-3-P008032001,110
CA-3-P008037001,110
CA-3-P008037003,110
CA-3-P008176002,422
CA-3-P008176003,110
CA-3-P008246001,110
CA-3-P008372001,110
CA-3-P008522001,110
CA-3-P008544001,422
CA-3-P008676001,110
CA-3-P008678001,110
CA-3-P008970001,110
CA-3-P009028001,311
CA-3-P009097001,110
CA-3-P009129001,110
CA-3-P009374001,110
CA-3-P009441001,110
CA-3-P009465001,110
CA-3-P009486001,110
CA-3-P009521001,110
CA-3-P009524001,110
CA-3-P009574001,110
CA-3-P009597001,110
CA-3-P009605001,110
CA-3-P009619001,110
CA-3-P009666001,110
CA-3-P009704001,110
CA-3-P009804001,422
CA-3-P009804002,110
CA-3-P009849001,110
CA-3-P009849002,110
CA-3-P009854001,110
CA-3-P009861001,110
CA-3-P009893001,110
CA-3-P009912001,110
CA-3-P009944001,110
CA-3-P010067001,110
CA-3-P010161001,110
CA-3-P010204001,110
CA-3-P010396001,110
CA-3-P010405001,110
CA-3-P010406001,110
CA-3-P010407001,110
CA-3-P010415001,110
CA-3-P010488001,110
CA-3-P010490001,110
CA-3-P010491001,110
CA-3-P010522001,110
CA-3-P010522002,110
CA-3-P010529001,110
CA-3-P010529002,110
CA-3-P010532001,422
CA-3-P010532002,110
CA-3-P010532003,110
CA-3-P010607001,110
CA-3-P010611001,110
CA-3-P010641001,110
CA-3-P010670001,110
CA-3-P010722001,110
CA-3-P010733001,110
CA-3-P010734001,110
CA-3-P010741001,110
CA-3-P010777001,110
CA-3-P010792001,110
CA-3-P010807001,422
CA-3-P010813001,110
CA-3-P010814001,110
CA-3-P010869001,311
CA-3-P010870001,311
CA-3-P010923001,110
CA-3-P011079001,110
CA-3-P011085001,110
CA-3-P011085002,110
CA-3-P011116001,110
CA-3-P011200001,110
CA-3-P011213001,110
CA-3-P011213002,110
CA-3-P011234001,110
CA-3-P011234002,110
CA-3-P011284001,110
CA-3-P011300001,422
CA-3-P011349001,110
CA-3-P011414001,110
CA-3-P011495001,110
CA-3-P011497001,110
CA-3-P011503001,110
CA-3-P011505001,110
CA-3-P011506001,110
CA-3-P011535001,110
CA-3-P011545001,110
CA-3-P011547001,110
CA-3-P011555001,110
